Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
CMR_ANEMDEF,1,0.040330964313,-0.334137728383,0.414799657008,0.211091712222,0.832815707214,Gee,Anemias due to other nutritional deficiencies,v2025,"HCUP 2020, 2021, 2022"
CMR_CANCER_METS,1,0.119770308254,-0.304160800330,0.543701416837,0.553734995714,0.579760221339,Gee,Metastatic cancer,v2025,"HCUP 2020, 2021, 2022"
CMR_COAG,1,0.136549712776,0.035395886606,0.237703538946,2.645797289873,0.008149863846,Gee,Coagulopathy,v2025,"HCUP 2020, 2021, 2022"
CMR_DEPRESS,1,0.005198599216,-0.386856652100,0.397253850533,0.025988855397,0.979266227555,Gee,Depression,v2025,"HCUP 2020, 2021, 2022"
CMR_DIAB_CX,1,-0.567538010323,-1.000580521607,-0.134495499040,-2.568694830430,0.010208231027,Gee,Diabetes with chronic complications,v2025,"HCUP 2020, 2021, 2022"
CMR_DIAB_UNCX,1,-0.363191973667,-0.785657144593,0.059273197260,-1.684974849640,0.091993423979,Gee,Diabetes without chronic complications,v2025,"HCUP 2020, 2021, 2022"
CMR_DRUG_ABUSE,1,0.357092050650,0.219454724676,0.494729376625,5.085012757143,0.000000367601,Gee,Drug abuse,v2025,"HCUP 2020, 2021, 2022"
CMR_HF,1,0.297543379148,0.195009245950,0.400077512346,5.687611420503,0.000000012883,Gee,Heart failure,v2025,"HCUP 2020, 2021, 2022"
CMR_HTN_CX,1,0.605105033371,0.099935611604,1.110274455139,2.347695686176,0.018889947598,Gee,"Hypertension, complicated",v2025,"HCUP 2020, 2021, 2022"
CMR_HTN_UNCX,1,0.230968558992,-0.056551538388,0.518488656371,1.574464050726,0.115380206223,Gee,"Hypertension, uncomplicated",v2025,"HCUP 2020, 2021, 2022"
CMR_LIVER_SEV,1,0.195045477174,0.009061418718,0.381029535629,2.055456332020,0.039834949312,Gee,"Liver disease, moderate to severe",v2025,"HCUP 2020, 2021, 2022"
CMR_LUNG_CHRONIC,1,0.443630168764,0.380080203620,0.507180133909,13.682134227042,0.000000000000,Gee,Chronic pulmonary disease,v2025,"HCUP 2020, 2021, 2022"
CMR_NEURO_OTH,1,0.062561799874,-0.066982124961,0.192105724709,0.946542840334,0.343871782392,Gee,Other neurological disorders,v2025,"HCUP 2020, 2021, 2022"
CMR_OBESE,1,0.598082958116,0.333721216495,0.862444699737,4.434155451113,0.000009243392,Gee,Obesity,v2025,"HCUP 2020, 2021, 2022"
CMR_PARALYSIS,1,0.271871175655,0.132260626721,0.411481724590,3.816743912156,0.000135224392,Gee,Paralysis,v2025,"HCUP 2020, 2021, 2022"
CMR_PERIVASC,1,0.082657080551,-0.016904927946,0.182219089049,1.627175901662,0.103699744308,Gee,Peripheral vascular disease,v2025,"HCUP 2020, 2021, 2022"
